group_id,shortname,hex_color,hyperlink
1,Couronnes périurbaines favorisées,#ebac23,
2,Espaces ruraux peu attractifs,#00a76c,
3,Zones urbaines et périurbaines d’expatriés,#00c6f8,
4,Agglomérations et villes centres,#d163e6,
5,Zones agricoles vieillissantes et conservatrices,#5954d6,
6,Zones rurales et périurbaines familiales et pendulaires,#b80058,
7,Zones périurbaines industrielles,#878500,
8,Espaces défavorisés au plan socio-économique,#ff9287,
9,Marges rurales de montagne aux populations fragiles,#b24502,
